,theta1,theta2,x1,x2,tau1,tau2,price1,price2,price_pre,price_post,price_schedule1,price_schedule2
8008,0.8564985922249947,0.290205765379318,94.81700576981635,101.31121960988216,0.8564985922249947,0.290205765379318,90.73030105798088,96.92997453464154,96.92997453464154,98.88477390349512,92.98180628203056,99.56705182635072
8009,0.1853864897529994,0.6562547588173584,115.95761159986174,114.22689017133696,0.1853864897529994,0.6562547588173584,98.16329436769152,102.5156204374648,98.16329436769152,107.09221241845293,100.1090174181842,109.84522533137627
8010,0.5067300742495969,0.8348726990264898,111.71042829225809,106.86322658110683,0.5067300742495969,0.8348726990264898,93.68039133005708,96.69382904960473,93.68039133005708,102.79331664297752,98.28293796448392,103.9620745346967
8011,0.3622171127392337,0.1888833318654963,98.33282205695399,103.3836708350235,0.4775250896868692,0.1888833318654963,98.33282205695399,98.12476236195039,98.12476236195039,100.61418417344859,106.864308831998,100.09146099948846
8012,0.5179925514013238,0.5088093393677345,87.21970037637809,102.00065217613306,0.9347076348192889,0.5088093393677345,87.21970037637809,93.64279021844686,93.64279021844686,97.40280169449275,88.16281055593798,98.26896438521351
8013,0.5723515983182612,0.9770257796471055,104.79125715487783,99.79178968313418,0.5723515983182612,0.9770257796471055,92.41169773402744,83.7296836946524,92.41169773402744,98.2838635930268,97.82007128368136,83.93765379752047
8014,0.8099439722097956,0.28878813223343797,86.35088214697885,89.95627608631136,0.8139916738110197,0.7100473182597868,86.35088214697885,88.98487910506726,88.98487910506726,88.59833711514871,92.01487244660512,96.64800390452912
8015,0.20191328736511913,0.28388136420708865,94.85419935194268,101.51545412922239,0.6816762839800626,0.28388136420708865,94.85419935194268,97.00937040864007,97.00937040864007,99.03337400398401,100.88233369035508,99.60080324708532
8016,0.5256776817060711,0.5962797241524318,141.83078019397067,125.70079195282419,0.5256776817060711,0.5962797241524318,93.33186129160097,119.35129824067114,93.33186129160097,120.2250260572216,98.15403679600281,129.66524039608146
8017,0.9458072205491617,0.09334846977246833,126.08947169764072,122.93694559244702,0.9458072205491617,0.09334846977246833,96.79631498092883,99.12219742078688,99.12219742078688,111.11109044980564,97.42944548219103,100.56130596896875
